InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
571847,23494,VINTAGE DOILY DELUXE SEWING KIT ,6,10/19/2011 12:39,5.95,15220,United Kingdom
571847,72741,GRAND CHOCOLATECANDLE,9,10/19/2011 12:39,1.45,15220,United Kingdom
571847,23310,BUBBLEGUM RING ASSORTED,36,10/19/2011 12:39,0.42,15220,United Kingdom
571847,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,10/19/2011 12:39,1.25,15220,United Kingdom
571847,23531,WALL ART BIG LOVE ,3,10/19/2011 12:39,6.95,15220,United Kingdom
571847,23530,WALL ART ONLY ONE PERSON ,6,10/19/2011 12:39,4.95,15220,United Kingdom
571847,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,10/19/2011 12:39,2.08,15220,United Kingdom
571847,23311,VINTAGE CHRISTMAS STOCKING ,6,10/19/2011 12:39,2.55,15220,United Kingdom
571847,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,10/19/2011 12:39,0.83,15220,United Kingdom
571847,23349,ROLL WRAP VINTAGE CHRISTMAS,12,10/19/2011 12:39,1.25,15220,United Kingdom
571847,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,10/19/2011 12:39,2.95,15220,United Kingdom
571847,23350,ROLL WRAP VINTAGE SPOT ,12,10/19/2011 12:39,1.25,15220,United Kingdom
